Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,
POST,32,-599.1919676,-208.4272436,-324.7587391,-348.9944495,-420.1504985,-300.523011,-271.4401284,-126.0257774,-310.2172845,-368.383032,-227.8158443,-227.8158443,-348.9944849,-164.8029335,-368.3830684,
POST,33,-415.3760627,-252.0515636,-368.383085,-353.8415598,-534.7370302,-203.5801162,-271.4401372,-126.0257774,-271.4401549,-489.5616549,-198.7329705,-193.8858073,-620.4346751,-150.2615143,-358.6887938,
POST,34,-486.9926715,-222.9686854,-368.383085,-353.8416393,-467.894928,-232.6629899,-315.064439,-111.4843493,-271.4401725,-387.7716498,-203.5800985,-247.2044091,-431.3959428,-227.8158266,-378.0773763,
POST,35,-374.793393,-252.0515371,-324.7587391,-353.8415952,-475.0566171,-266.5930269,-416.8545059,-150.2614967,-189.0386881,-450.7845606,-184.1915248,-266.5929916,-416.8544706,-150.2615143,-261.745846,
POST,36,-396.2783898,-252.0515371,-295.6759007,-363.5359041,-470.2821459,-305.3701742,-266.5929916,-116.3315038,-319.9115758,-387.7716498,-237.5101002,-261.7458283,-508.9502374,-135.7200951,-281.1344483,
POST,37,-508.4776682,-276.2872828,-285.9816094,-378.0773056,-532.349777,-271.4401549,-285.9815785,-135.7200774,-334.4530127,-368.3830673,-184.1915248,-300.5229933,-315.0644125,-126.0257685,-208.4272485,
POST,38,-386.7294474,-252.0515547,-368.3830673,-382.9244512,-441.6354953,-252.0515591,-290.8287285,-121.1786229,-397.4658881,-445.9373973,-266.5929916,-256.898718,-465.3259798,-189.0386616,-232.6629894,
POST,39,-448.7971844,-300.5229933,-339.3001583,-368.3830144,-436.8610594,-203.5801029,-378.0773763,NaN,-334.453048,-397.4659058,-242.3572458,-213.2744251,-542.8803451,-145.414351,-232.6629894,
POST,40,-551.4475558,-189.0386605,-397.4659234,-368.383085,-429.6993703,-218.1215442,-392.6187955,NaN,-348.9944495,-416.8544529,-169.650088,-232.6629722,-387.7716322,-174.4972248,-203.5801162,
POST,41,-513.2521041,-232.6629943,-285.9815741,-368.3830673,-458.3459856,-329.605867,-305.3701389,NaN,-237.5101355,-504.1030388,-222.9687075,-256.8986827,-416.8545059,-130.8729186,-329.6058847,
POST,42,-556.222027,-189.0386616,-295.6758477,-436.2431237,-446.4100018,-402.3130735,-310.2173375,NaN,-227.8158354,-305.3701566,-135.7200686,-179.3443527,-305.3701566,-130.8729186,-256.8987015,
POST,43,-422.5377518,-392.6187778,-276.2873182,-436.2431237,-551.4475911,-392.6188131,-402.3130337,NaN,-213.2743897,-523.491692,-174.4972253,-179.3443527,-494.4088006,-159.9558056,-281.1344285,
POST,44,-582.4814597,-252.0515812,-358.6887231,-387.7715969,-439.248295,-373.2301821,-213.2743897,NaN,-242.3572282,-378.0773586,-179.344388,-281.1344108,-436.2430707,-111.4843493,-281.1344285,
POST,45,-565.7709341,-232.6629722,-363.5359217,-387.7715969,-513.2521041,-610.7403485,-300.5230198,NaN,-218.1215354,-353.8416128,-174.4972468,-222.9687163,-348.9944495,-126.0257862,-266.5929916,
POST,46,-541.8987194,-232.6629722,-281.1344285,-387.7715969,-541.8986841,NaN,-290.8287285,NaN,-324.7587567,-373.23016,-227.8158443,-290.8287374,-484.714527,-130.8729142,-310.2172934,
POST,47,-515.6393221,-242.3572811,-348.9944495,-310.2173199,-494.1543253,NaN,-189.0386616,NaN,-281.1344285,-344.1473039,-179.3443748,-285.9815564,-334.4530127,-135.7200774,-276.2873011,
POST,48,-644.5491261,NaN,-387.7716498,NaN,-491.767178,NaN,-344.1472951,NaN,-305.3701301,-203.5801073,-247.2044268,-222.9686987,-358.6887584,-135.7200421,NaN,
POST,49,NaN,NaN,-426.5487972,NaN,-477.4438704,NaN,-290.8287374,NaN,NaN,-484.7144917,-184.1915182,-266.5929916,-407.1602323,-140.5672407,NaN,
